learning_rate,hidden_dim,weight_decay,activation,best_val_acc,best_epoch,model_path
0.1,64,0.0,relu,0.8719166666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p1_wd0p0_actrelu.pkl
0.1,64,0.0,sigmoid,0.8396666666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p1_wd0p0_actsigmoid.pkl
0.1,64,0.0001,relu,0.8723333333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p1_wd0p0001_actrelu.pkl
0.1,64,0.0001,sigmoid,0.839,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p1_wd0p0001_actsigmoid.pkl
0.1,64,0.001,relu,0.8693333333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p1_wd0p001_actrelu.pkl
0.1,64,0.001,sigmoid,0.8344166666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p1_wd0p001_actsigmoid.pkl
0.1,128,0.0,relu,0.8740833333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p1_wd0p0_actrelu.pkl
0.1,128,0.0,sigmoid,0.8399166666666666,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p1_wd0p0_actsigmoid.pkl
0.1,128,0.0001,relu,0.87375,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p1_wd0p0001_actrelu.pkl
0.1,128,0.0001,sigmoid,0.8393333333333334,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p1_wd0p0001_actsigmoid.pkl
0.1,128,0.001,relu,0.871,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p1_wd0p001_actrelu.pkl
0.1,128,0.001,sigmoid,0.8335833333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p1_wd0p001_actsigmoid.pkl
0.1,256,0.0,relu,0.874,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p1_wd0p0_actrelu.pkl
0.1,256,0.0,sigmoid,0.8380833333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p1_wd0p0_actsigmoid.pkl
0.1,256,0.0001,relu,0.8740833333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p1_wd0p0001_actrelu.pkl
0.1,256,0.0001,sigmoid,0.8371666666666666,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p1_wd0p0001_actsigmoid.pkl
0.1,256,0.001,relu,0.8716666666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p1_wd0p001_actrelu.pkl
0.1,256,0.001,sigmoid,0.8340833333333333,9,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p1_wd0p001_actsigmoid.pkl
0.01,64,0.0,relu,0.8275,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p01_wd0p0_actrelu.pkl
0.01,64,0.0,sigmoid,0.74875,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p01_wd0p0_actsigmoid.pkl
0.01,64,0.0001,relu,0.8273333333333334,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p01_wd0p0001_actrelu.pkl
0.01,64,0.0001,sigmoid,0.7486666666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p01_wd0p0001_actsigmoid.pkl
0.01,64,0.001,relu,0.8269166666666666,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p01_wd0p001_actrelu.pkl
0.01,64,0.001,sigmoid,0.7469166666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p01_wd0p001_actsigmoid.pkl
0.01,128,0.0,relu,0.8241666666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p01_wd0p0_actrelu.pkl
0.01,128,0.0,sigmoid,0.7511666666666666,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p01_wd0p0_actsigmoid.pkl
0.01,128,0.0001,relu,0.8241666666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p01_wd0p0001_actrelu.pkl
0.01,128,0.0001,sigmoid,0.7508333333333334,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p01_wd0p0001_actsigmoid.pkl
0.01,128,0.001,relu,0.82375,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p01_wd0p001_actrelu.pkl
0.01,128,0.001,sigmoid,0.74975,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p01_wd0p001_actsigmoid.pkl
0.01,256,0.0,relu,0.8275,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p01_wd0p0_actrelu.pkl
0.01,256,0.0,sigmoid,0.7555833333333334,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p01_wd0p0_actsigmoid.pkl
0.01,256,0.0001,relu,0.8276666666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p01_wd0p0001_actrelu.pkl
0.01,256,0.0001,sigmoid,0.7555833333333334,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p01_wd0p0001_actsigmoid.pkl
0.01,256,0.001,relu,0.8268333333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p01_wd0p001_actrelu.pkl
0.01,256,0.001,sigmoid,0.7550833333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p01_wd0p001_actsigmoid.pkl
0.001,64,0.0,relu,0.7023333333333334,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p001_wd0p0_actrelu.pkl
0.001,64,0.0,sigmoid,0.5591666666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p001_wd0p0_actsigmoid.pkl
0.001,64,0.0001,relu,0.70225,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p001_wd0p0001_actrelu.pkl
0.001,64,0.0001,sigmoid,0.559,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p001_wd0p0001_actsigmoid.pkl
0.001,64,0.001,relu,0.7021666666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p001_wd0p001_actrelu.pkl
0.001,64,0.001,sigmoid,0.559,10,E:\计算机视觉\HW1\mlp\models\model_hd64_lr0p001_wd0p001_actsigmoid.pkl
0.001,128,0.0,relu,0.7125833333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p001_wd0p0_actrelu.pkl
0.001,128,0.0,sigmoid,0.6080833333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p001_wd0p0_actsigmoid.pkl
0.001,128,0.0001,relu,0.7126666666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p001_wd0p0001_actrelu.pkl
0.001,128,0.0001,sigmoid,0.6080833333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p001_wd0p0001_actsigmoid.pkl
0.001,128,0.001,relu,0.7124166666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p001_wd0p001_actrelu.pkl
0.001,128,0.001,sigmoid,0.6079166666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd128_lr0p001_wd0p001_actsigmoid.pkl
0.001,256,0.0,relu,0.7309166666666667,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p001_wd0p0_actrelu.pkl
0.001,256,0.0,sigmoid,0.6198333333333333,10,E:\计算机视觉\HW1\mlp\models\model_hd256_lr0p001_wd0p0_actsigmoid.pkl
